"","0","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0,0,0,0,0,0,0
"metro",0,2.33333333333334,5.55483870967742,11.3473684210526,20.5130434782609,36.12,0,0,91
"train",0,2.1,5.83333333333334,11.2823529411765,21.153125,36.9833333333334,52.6842105263158,74.4545454545455,138.352941176471
"bus",0,2.45,5.31005917159763,10.8387096774194,19.4782608695653,38.7333333333334,56,78.4,154.7
"moto",0,2,5.71666666666666,9.8,21.28,32.9,50.4,0,0
"card",0,2.17616580310881,5.45140664961637,10.9966580976864,21.0021538461539,36.4,50.0714285714286,70.3777777777778,143.621739130435
"carp",0,2.15478260869565,5.49230769230769,11.0894736842105,21.2978723404255,37.1411764705883,51,67.2,133
"taxi",0,2.39999999999999,4.2,12.6,16.8,0,0,0,0
"cycle",0,2.06315789473685,5.45762711864406,10.5304347826087,16.1,0,0,0,0
"walk",0,1.67939262472885,4.88510638297872,11.2,19.1333333333334,35,0,0,0
"other",0,1.4,5.95,10.6,18.9,38.85,52.5,58.8,182
